Jogo,Ano,Genero,Estudio,America_do_Norte,Europa,Japao,Outros_paises,Global
Grand Theft Auto V,2014,Action,Rockstar Games,6.060,9.710,0.600,3.020,19.390
Call of Duty: Black Ops 3,2015,Shooter,Activision,6.180,6.050,0.410,2.440,15.090
Red Dead Redemption 2,2018,Action-Adventure,Rockstar Games,5.260,6.210,0.210,2.260,13.940
Call of Duty: WWII,2017,Shooter,Activision,4.670,6.210,0.400,2.120,13.400
FIFA 18,2017,Sports,EA Sports,1.270,8.640,0.150,1.730,11.800
FIFA 17,2016,Sports,Electronic Arts,1.260,7.950,0.120,1.610,10.940
Uncharted (PS4),2016,Action,Sony Interactive Entertainment,4.490,3.930,0.210,1.700,10.330
Spider-Man (PS4),2018,Action-Adventure,Sony Interactive Entertainment,3.640,3.390,0.320,1.410,8.760
Call of Duty: Infinite Warfare,2016,Shooter,Activision,3.110,3.830,0.190,1.360,8.480
Fallout 4,2015,Role-Playing,Bethesda Softworks,2.910,3.970,0.270,1.340,8.480
FIFA 16,2015,Sports,EA Sports,1.150,5.770,0.070,1.230,8.220
Star Wars Battlefront 2015,2015,Shooter,Electronic Arts,3.310,3.190,0.230,1.300,8.030
Call of Duty: Advanced Warfare,2014,Shooter,Activision,2.840,3.340,0.140,1.220,7.530
Battlefield 1,2016,Shooter,Electronic Arts,2.200,3.650,0.290,1.120,7.260
The Last of Us,2014,Action-Adventure,Sony Computer Entertainment,2.700,2.860,0.110,1.100,6.770
MineCraft,2014,Misc,Sony Computer Entertainment,1.890,3.130,0.350,0.960,6.330
FIFA 15,2014,Sports,EA Sports,0.830,4.490,0.050,0.940,6.320
God of War (PS4),2018,Action,Sony Interactive Entertainment,2.830,2.170,0.130,1.020,6.150
Horizon: Zero Dawn,2017,Action,Sony Interactive Entertainment,2.200,2.430,0.280,0.920,5.820
Destiny,2014,Shooter,Activision,2.530,2.130,0.160,0.940,5.760
Uncharted: The Nathan Drake Collection,2015,Action,Sony Computer Entertainment,2.550,2.110,0.100,0.940,5.700
The Witcher 3: Wild Hunt,2015,Role-Playing,Namco Bandai Games,1.480,2.820,0.280,0.810,5.390
Final Fantasy XV,2016,Role-Playing,Square Enix,1.810,1.530,1.050,0.680,5.070
Crash Bandicoot N. Sane Trilogy,2017,Platform,Activision,1.090,2.920,0.070,0.740,4.830
Monster Hunter: World,2018,Action,Capcom,1.030,1.060,2.170,0.420,4.670
Overwatch,2016,Shooter,Blizzard Entertainment,1.840,1.800,0.170,0.730,4.540
Star Wars Battlefront II (2017),2017,Shooter,Electronic Arts,1.700,1.990,0.120,0.730,4.530
Tom Clancy's The Division,2016,Shooter,Ubisoft,1.490,2.040,0.160,0.690,4.370
Tom Clancy's Rainbow Six: Siege,2015,Shooter,Ubisoft,1.290,2.060,0.360,0.640,4.360
Watch Dogs,2014,Action-Adventure,Ubisoft,1.400,2.130,0.110,0.680,4.320
Call of Duty: Ghosts,2013,Shooter,Activision,1.790,1.640,0.050,0.690,4.170
Assassin's Creed: Unity,2014,Action,Ubisoft,1.250,2.160,0.090,0.650,4.140
Destiny 2,2017,Shooter,Activision,1.920,1.440,0.100,0.690,4.140
Batman: Arkham Knight,2015,Action,Warner Bros. Interactive,1.650,1.680,0.110,0.660,4.110
Assassin's Creed Origins,2017,Action,Ubisoft,1.220,2.110,0.110,0.630,4.060
Far Cry 4,2014,Shooter,Ubisoft,1.180,2.140,0.110,0.630,4.060
NBA 2K16,2015,Sports,2K Sports,2.560,0.660,0.050,0.710,3.980
Far Cry 5,2018,Action,Ubisoft,1.440,1.730,0.150,0.620,3.950
Battlefield 4,2013,Shooter,Electronic Arts,1.400,1.740,0.190,0.620,3.940
Gran Turismo Sport,2017,Racing,Sony Interactive Entertainment,0.630,2.350,0.240,0.540,3.770
Assassin's Creed Syndicate,2015,Action,Ubisoft,0.900,2.060,0.080,0.550,3.600
NBA 2K17,2016,Sports,2K Sports,2.280,0.590,0.030,0.630,3.520
Mortal Kombat X,2015,Fighting,Warner Bros. Interactive Entertainment,1.940,0.940,0.000,0.610,3.490
FIFA Soccer 14,2013,Sports,EA Sports,0.620,2.180,0.120,0.510,3.430
The Elder Scrolls V: Skyrim,2016,Role-Playing,Bethesda Softworks,1.240,1.500,0.080,0.540,3.360
Watch Dogs 2,2016,Action,Ubisoft,0.980,1.740,0.120,0.520,3.360
NBA 2K18,2017,Sports,2K Sports,2.130,0.570,0.040,0.590,3.340
Resident Evil VII: Biohazard,2017,Action,Capcom,0.880,1.560,0.410,0.460,3.310
Madden NFL 16,2015,Sports,EA Sports,2.390,0.310,0.000,0.610,3.300
Madden NFL 17,2016,Sports,EA Sports,2.300,0.370,0.000,0.600,3.280
Middle-Earth: Shadow of Mordor,2014,Action,Warner Bros. Interactive Entertainment,1.030,1.600,0.050,0.510,3.190
Assassin's Creed IV: Black Flag,2013,Action-Adventure,Ubisoft,1.070,1.550,0.060,0.510,3.190
Tom Clancy's Ghost Recon Wildlands,2017,Shooter,Ubisoft,1.070,1.350,0.220,0.470,3.120
Bloodborne,2015,Role-Playing,Sony Computer Entertainment,1.300,1.050,0.280,0.480,3.110
Metal Gear Solid V: The Phantom Pain,2015,Action,Konami Digital Entertainment,0.970,1.150,0.500,0.420,3.040
Killzone: Shadow Fall,2013,Shooter,Sony Computer Entertainment,0.890,1.580,0.080,0.470,3.020
inFAMOUS: Second Son,2014,Action-Adventure,Sony Computer Entertainment,1.350,1.090,0.070,0.500,3.010
Doom (2016),2016,Shooter,Bethesda Softworks,0.930,1.480,0.040,0.460,2.920
Mafia III,2016,Action-Adventure,2K Games,0.720,1.670,0.040,0.440,2.870
Diablo III,2014,Role-Playing,Blizzard Entertainment,0.830,1.480,0.080,0.440,2.820
Far Cry: Primal,2016,Action-Adventure,Ubisoft,0.630,1.610,0.070,0.410,2.730
Need for Speed (2015),2015,Racing,Electronic Arts,0.590,1.660,0.060,0.410,2.720
Madden NFL 18,2017,Sports,EA Sports,1.730,0.420,0.000,0.470,2.620
NBA 2K15,2014,Sports,2K Sports,1.490,0.550,0.010,0.440,2.490
Dying Light,2015,Action,Warner Bros. Interactive,1.180,0.740,0.130,0.400,2.450
Dark Souls III,2016,Role-Playing,Namco Bandai Games,1.000,0.630,0.440,0.340,2.420
Ratchet & Clank (2016),2016,Platform,Sony Interactive Entertainment,0.970,0.970,0.060,0.390,2.380
DriveClub,2014,Racing,Sony Computer Entertainment,0.370,1.630,0.020,0.360,2.370
Uncharted: The Lost Legacy,2017,Action,Sony Interactive Entertainment,0.580,1.380,0.040,0.360,2.370
Dragon Age III: Inquisition,2014,Role-Playing,Electronic Arts,1.070,0.800,0.080,0.380,2.340
No Man's Sky,2016,Action-Adventure,Hello Games,0.890,0.970,0.040,0.370,2.260
Madden NFL 15,2014,Sports,EA Sports,1.580,0.250,0.000,0.410,2.250
Need for Speed: Payback,2017,Racing,Electronic Arts,0.620,1.180,0.040,0.340,2.180
Destiny: The Taken King,2015,Shooter,Activision,0.970,0.800,0.050,0.360,2.180
Need for Speed Rivals,2013,Racing,Electronic Arts,0.750,1.040,0.030,0.350,2.170
PlayStation VR Worlds,2016,Misc,Sony Interactive Entertainment,0.360,1.400,0.090,0.320,2.160
Battlefield: Hardline,2015,Shooter,Electronic Arts,0.720,0.970,0.140,0.330,2.150
Rise of the Tomb Raider,2016,Adventure,Square Enix,0.610,1.080,0.050,0.320,2.070
LittleBigPlanet 3,2014,Platform,Sony Computer Entertainment,0.780,0.930,0.010,0.340,2.060
The Elder Scrolls Online,2015,MMO,Bethesda Softworks,0.740,0.980,0.000,0.330,2.050
Middle-Earth: Shadow of War,2017,Action,Warner Bros. Interactive Entertainment,0.820,0.840,0.060,0.330,2.040
Dragon Quest XI,2017,Role-Playing,Square Enix,0.290,0.220,1.430,0.100,2.040
Rocket League,2016,Sports,505 Games,0.370,1.340,0.000,0.310,2.020
Just Cause 3,2015,Action-Adventure,Square Enix,0.530,1.070,0.090,0.300,1.980
Dishonored 2,2016,Action,Bethesda Softworks,0.620,1.020,0.010,0.310,1.970
Lego Marvel Super Heroes,2013,Action,Warner Bros. Interactive Entertainment,0.590,1.000,0.010,0.300,1.910
Until Dawn,2015,Adventure,Sony Computer Entertainment,0.620,0.920,0.060,0.300,1.900
Knack,2013,Platform,Sony Computer Entertainment,0.450,0.770,0.420,0.230,1.880
The Evil Within,2014,Action,Bethesda Softworks,0.560,0.900,0.110,0.280,1.860
The Crew,2014,Racing,Ubisoft,0.440,1.040,0.030,0.270,1.790
Kingdom Hearts 1.5 + 2.5 Remix,2017,Role-Playing,Square Enix,0.750,0.510,0.230,0.260,1.750
For Honor,2017,Action,Ubisoft,0.730,0.660,0.070,0.280,1.750
Titanfall 2,2016,Shooter,Electronic Arts,0.750,0.620,0.060,0.280,1.720
Injustice 2,2017,Fighting,Warner Bros. Interactive Entertainment,0.880,0.540,0.000,0.290,1.720
NieR Automata,2017,Role-Playing,Square Enix,0.560,0.510,0.420,0.220,1.710
Tekken 7,2017,Fighting,Namco Bandai Games,0.600,0.720,0.120,0.260,1.700
Persona 5,2016,Role-Playing,Deep Silver,0.620,0.340,0.480,0.200,1.640
The Order: 1886,2015,Shooter,Sony Computer Entertainment,0.440,0.860,0.070,0.250,1.620
Wolfenstein: The New Order,2014,Shooter,Bethesda Softworks,0.480,0.840,0.030,0.250,1.610
Detroit: Become Human,2018,Adventure,Sony Interactive Entertainment,0.550,0.670,0.120,0.240,1.570
Naruto Shippuden: Ultimate Ninja Storm 4,2016,Fighting,Namco Bandai Games,0.710,0.470,0.120,0.240,1.540
NBA 2K14,2013,Sports,2K Sports,0.910,0.350,0.010,0.270,1.540
Tomb Raider (2013),2014,Action-Adventure,Square Enix,0.470,0.740,0.060,0.230,1.510
Dragon Ball: Xenoverse 2,2016,Action,Namco Bandai Games,0.540,0.590,0.140,0.230,1.500
Rayman Legends,2014,Platform,Ubisoft,0.220,1.050,0.000,0.230,1.500
Mass Effect: Andromeda,2017,Role-Playing,Electronic Arts,0.580,0.670,0.000,0.250,1.490
Dragon Ball Fighter Z,2018,Fighting,Namco Bandai Games,0.610,0.510,0.120,0.230,1.460
South Park: The Fractured But Whole,2017,Role-Playing,Ubisoft,0.620,0.570,0.000,0.240,1.430
The Sims 4,2017,Simulation,Electronic Arts,0.440,0.720,0.010,0.220,1.390
Street Fighter V,2016,Fighting,Capcom,0.640,0.420,0.120,0.220,1.390
Wolfenstein II: The New Colossus,2017,Shooter,Bethesda Softworks,0.550,0.580,0.010,0.220,1.360
WWE 2K18,2017,Sports,2K Sports,0.450,0.670,0.000,0.220,1.330
Lego Star Wars: The Force Awakens,2016,Action-Adventure,Warner Bros. Interactive Entertainment,0.300,0.780,0.020,0.200,1.310
EA Sports UFC 2,2016,Sports,EA Sports,0.440,0.650,0.000,0.210,1.310
The Last Guardian,2016,Action-Adventure,Sony Interactive Entertainment,0.400,0.580,0.130,0.190,1.290
WWE 2K16,2015,Sports,Take-Two Interactive,0.430,0.650,0.000,0.210,1.290
Borderlands: The Handsome Collection,2015,Shooter,2K Games,0.690,0.340,0.030,0.220,1.280
Project CARS,2015,Racing,Bandai Namco Games,0.290,0.760,0.040,0.190,1.280
WWE 2K17,2016,Sports,2K Games,0.320,0.700,0.000,0.190,1.220
Guitar Hero Live,2015,Music,Activision,0.520,0.490,0.000,0.200,1.210
Metal Gear Solid: Ground Zeroes,2014,Action-Adventure,Konami Digital Entertainment,0.360,0.500,0.170,0.170,1.200
Mad Max (2013),2015,Action,Warner Bros. Interactive Entertainment,0.380,0.590,0.050,0.190,1.200
Shadow of the Colossus,2018,Action-Adventure,Sony Interactive Entertainment,0.440,0.520,0.050,0.190,1.200
Kingdom Hearts HD 2.8 Final Chapter Prologue,2017,Role-Playing,Square Enix,0.570,0.250,0.200,0.170,1.200
Dragon Ball: XenoVerse,2015,Fighting,Namco Bandai Games,0.330,0.550,0.140,0.170,1.190
LEGO Dimensions,2015,Action,Warner Bros. Interactive Entertainment,0.480,0.500,0.000,0.200,1.180
LEGO Jurassic World,2015,Action,Warner Bros. Interactive Entertainment,0.410,0.560,0.020,0.190,1.180
WWE 2K15,2014,Sports,2K Sports,0.400,0.570,0.000,0.190,1.160
MLB The Show 17,2017,Sports,Sony Interactive Entertainment,0.940,0.000,0.000,0.220,1.160
LEGO Worlds,2017,Misc,Warner Bros. Interactive Entertainment,0.210,0.720,0.040,0.170,1.140
The Elder Scrolls V: Skyrim PSVR,2017,Role-Playing,Bethesda Softworks,0.470,0.470,0.010,0.190,1.130
LEGO Marvel Super Heroes 2,2017,Action,Warner Bros. Interactive Entertainment,0.330,0.600,0.000,0.180,1.110
EA Sports UFC,2014,Fighting,Electronic Arts,0.490,0.430,0.010,0.180,1.110
Final Fantasy XII: The Zodiac Age,2017,Role-Playing,Square Enix,0.370,0.410,0.160,0.150,1.100
Alien: Isolation,2014,Adventure,Sega,0.290,0.590,0.050,0.160,1.090
MLB The Show 18,2018,Sports,Sony Interactive Entertainment,0.860,0.000,0.000,0.200,1.060
The Evil Within II,2017,Action,Bethesda Softworks,0.310,0.490,0.090,0.150,1.050
Prey (2017),2017,Shooter,Bethesda Softworks,0.250,0.620,0.020,0.160,1.040
Final Fantasy Type-0,2015,Role-Playing,Square Enix,0.400,0.330,0.160,0.150,1.040
Ni-Oh,2017,Action,Tecmo Koei,0.340,0.360,0.200,0.140,1.030
MLB 15: The Show,2015,Sports,Sony Computer Entertainment,0.750,0.080,0.000,0.190,1.010
Steep,2016,Sports,Ubisoft,0.230,0.600,0.020,0.150,1.010
LEGO Marvel's Avengers,2016,Action,Warner Bros. Interactive Entertainment,0.310,0.530,0.010,0.160,1.010
Evolve,2015,Shooter,2K Games,0.380,0.410,0.050,0.160,1.010
Injustice: Gods Among Us,2013,Fighting,Warner Bros. Interactive Entertainment,0.460,0.350,0.000,0.170,0.980
EA Sports UFC 3,2018,Sports,EA Sports,0.400,0.410,0.010,0.160,0.970
Madden NFL 25,2013,Sports,EA Sports,0.640,0.150,0.000,0.170,0.960
MLB 16: The Show,2016,Sports,Sony Computer Entertainment,0.780,0.000,0.000,0.180,0.960
Lego Batman 3: Beyond Gotham,2014,Action,Warner Bros. Interactive Entertainment,0.370,0.420,0.000,0.160,0.940
Final Fantasy X/X-2 HD Remaster,2015,Role-Playing,Square Enix,0.340,0.360,0.070,0.140,0.900
Ni no Kuni II: Revenant Kingdom,2018,Role-Playing,Namco Bandai Games,0.330,0.310,0.120,0.130,0.890
God of War III,2015,Action,Sony Computer Entertainment,0.400,0.330,0.020,0.150,0.890
Fortnite,2017,Action,Gearbox Software,0.420,0.320,0.000,0.150,0.890
LEGO Harry Potter Collection,2016,Action,Warner Bros. Interactive Entertainment,0.070,0.680,0.000,0.130,0.880
Minecraft: Story Mode,2015,Adventure,Mojang,0.310,0.420,0.000,0.140,0.870
BioShock The Collection,2016,Shooter,2K Games,0.410,0.280,0.030,0.140,0.860
Thief 4,2014,Action,Square Enix,0.280,0.410,0.030,0.130,0.850
Until Dawn: Rush of Blood,2016,Shooter,Sony Interactive Entertainment,0.500,0.210,0.000,0.150,0.850
Disney Infinity 3.0,2015,Action,Disney Interactive Studios,0.310,0.400,0.000,0.140,0.850
Farming Simulator 17,2016,Simulation,Focus Home Interactive,0.190,0.520,0.010,0.130,0.850
The Crew 2,2018,Racing,Ubisoft,0.220,0.420,0.050,0.120,0.820
Pro Evolution Soccer 2016,2015,Sports,Konami Digital Entertainment,0.140,0.430,0.140,0.100,0.820
ARK: Survival Evolved,2017,Action,Studio Wildcard,0.280,0.290,0.140,0.110,0.810
Dragon Quest Heroes: The World's Tree Woe and the Blight Below,2015,Action,Square Enix,0.210,0.140,0.390,0.070,0.810
Assassin's Creed The Ezio Collection,2016,Action,Ubisoft,0.140,0.520,0.020,0.120,0.790
Final Fantasy XIV: A Realm Reborn,2014,MMO,Square Enix,0.350,0.230,0.080,0.120,0.790
Destiny: The Collection,2016,Shooter,Activision,0.240,0.400,0.020,0.120,0.780
F1 2016 (Codemasters),2016,Racing,Codemasters,0.070,0.560,0.030,0.110,0.780
Hitman (2016),2017,Action,Square Enix,0.240,0.360,0.060,0.110,0.780
Pro Evolution Soccer 2015,2014,Sports,Konami Digital Entertainment,0.090,0.450,0.120,0.100,0.760
LEGO City Undercover,2017,Platform,Warner Bros. Interactive Entertainment,0.170,0.460,0.010,0.120,0.750
Pro Evolution Soccer 2018,2017,Sports,Konami Digital Entertainment,0.120,0.360,0.190,0.090,0.750
Disney Infinity 2.0: Marvel Super Heroes,2014,Action-Adventure,Disney Interactive Studios,0.370,0.250,0.000,0.130,0.750
Pro Evolution Soccer 2017,2016,Sports,Konami Digital Entertainment,0.080,0.410,0.180,0.090,0.750
Sniper Elite 3,2014,Shooter,505 Games,0.250,0.370,0.000,0.120,0.740
MLB 14 The Show,2014,Sports,Sony Computer Entertainment,0.590,0.000,0.000,0.140,0.730
WipEout Omega Collection,2017,Racing,Sony Interactive Entertainment,0.120,0.490,0.000,0.110,0.720
Deus Ex: Mankind Divided,2016,Role-Playing,Square Enix,0.250,0.340,0.010,0.120,0.720
The LEGO Movie Videogame,2014,Action-Adventure,Warner Bros. Interactive Entertainment,0.260,0.320,0.010,0.110,0.710
Marvel vs. Capcom: Infinite,2017,Fighting,Capcom,0.360,0.190,0.040,0.110,0.700
Dark Souls II,2015,Role-Playing,Namco Bandai Games,0.270,0.230,0.090,0.100,0.690
Yakuza 6,2016,Adventure,Sega,0.160,0.100,0.380,0.050,0.690
F1 2015,2015,Racing,Codemasters,0.100,0.450,0.040,0.100,0.680
METRO 2033,2014,Shooter,Deep Silver,0.220,0.310,0.050,0.100,0.680
Rocksmith 2014,2014,Music,Ubisoft,0.380,0.170,0.000,0.120,0.670
NHL 16,2015,Sports,EA Sports,0.380,0.160,0.000,0.120,0.660
Plants vs Zombies: Garden Warfare,2014,Shooter,Electronic Arts,0.240,0.300,0.010,0.110,0.660
Tales of Berseria,2016,Role-Playing,Namco Bandai Games,0.220,0.100,0.260,0.070,0.650
Yakuza Zero: The Place of Oath,2015,Adventure,Sega,0.220,0.160,0.190,0.080,0.650
One Piece: Burning Blood,2016,Fighting,Namco Bandai Games,0.210,0.260,0.090,0.090,0.650
Batman: Return to Arkham,2016,Action,Warner Bros. Interactive Entertainment,0.150,0.390,0.010,0.100,0.640
Plants vs. Zombies: Garden Warfare 2,2016,Shooter,Electronic Arts,0.220,0.310,0.000,0.100,0.630
LEGO The Hobbit,2014,Action-Adventure,Warner Bros. Interactive Entertainment,0.140,0.390,0.000,0.100,0.620
World of Final Fantasy,2016,Role-Playing,Square Enix,0.240,0.210,0.090,0.090,0.620
F1 2017,2017,Racing,Koch Media,0.040,0.470,0.020,0.090,0.620
NHL 15,2014,Sports,EA Sports,0.320,0.190,0.000,0.110,0.620
Knowledge is Power,2017,Party,Sony Interactive Entertainment,0.050,0.470,0.000,0.090,0.610
L.A. Noire,2017,Adventure,Rockstar Games,0.180,0.320,0.000,0.100,0.600
Hidden Agenda,2017,Adventure,Sony Interactive Entertainment,0.080,0.420,0.000,0.090,0.590
Call of Duty: Modern Warfare Remastered,2017,Shooter,Activision,0.170,0.300,0.030,0.090,0.580
Dragon Quest Builders: Revive Alefgard,2016,Role-Playing,Square Enix,0.120,0.170,0.240,0.060,0.580
The Lego Ninjago Movie Videogame,2017,Action,Warner Bros. Interactive Entertainment,0.160,0.320,0.000,0.090,0.570
Resident Evil: Revelations 2,2015,Action,Capcom,0.140,0.250,0.110,0.070,0.570
Rock Band 4,2015,Music,Harmonix Music Systems,0.410,0.060,0.000,0.100,0.570
NHL 18,2017,Sports,EA Sports,0.310,0.160,0.000,0.100,0.570
Everybody's Golf,2017,Sports,Sony Interactive Entertainment,0.120,0.220,0.170,0.060,0.560
The Amazing Spider-Man 2 (2014),2014,Action-Adventure,Activision,0.200,0.260,0.020,0.090,0.560
DOOM VFR,2017,Shooter,Bethesda Softworks,0.220,0.250,0.000,0.090,0.560
Sonic Forces,2017,Platform,Sega,0.150,0.310,0.010,0.090,0.560
Kingdom Come: Deliverance,2018,Role-Playing,Deep Silver,0.180,0.280,0.000,0.090,0.560
Lords of the Fallen,2014,Role-Playing,Square Enix,0.200,0.240,0.020,0.090,0.550
Sniper Elite 4,2017,Shooter,Rebellion Developments,0.210,0.250,0.000,0.090,0.550
Rory McIlroy PGA Tour,2015,Sports,Electronic Arts,0.190,0.270,0.000,0.090,0.550
Project CARS 2,2017,Racing,Namco Bandai Games,0.100,0.350,0.020,0.080,0.550
Skylanders: Trap Team,2014,Platform,Activision,0.250,0.180,0.000,0.090,0.520
NHL 17,2016,Sports,EA Sports,0.320,0.110,0.000,0.090,0.520
One Piece: Pirate Warriors 3,2015,Action,Namco Bandai Games,0.110,0.220,0.110,0.060,0.520
DiRT Rally,2016,Racing,Codemasters,0.130,0.300,0.000,0.080,0.510
Homefront: The Revolution,2016,Shooter,Deep Silver,0.110,0.290,0.040,0.070,0.500
Attack on Titan (KOEI),2016,Action,Tecmo Koei,0.080,0.240,0.120,0.060,0.500
DiRT 4,2017,Racing,Codemasters,0.100,0.300,0.020,0.070,0.490
Farpoint,2017,Shooter,Sony Interactive Entertainment,0.000,0.380,0.040,0.060,0.480
Battleborn,2016,Shooter,2K Games,0.250,0.120,0.030,0.080,0.480
A Way Out,2018,Action,Electronic Arts,0.230,0.160,0.000,0.080,0.480
Friday the 13th: The Game,2017,Action,Gun Media,0.290,0.090,0.030,0.080,0.480
The Walking Dead: A Telltale Games Series,2014,Adventure,Telltale Games,0.120,0.260,0.030,0.070,0.480
Wolfenstein: The Old Blood,2015,Shooter,Bethesda Softworks,0.130,0.250,0.020,0.070,0.480
Deadpool,2015,Action,Activision,0.260,0.130,0.000,0.080,0.470
Dragon Quest Heroes II: Twin Kings and the Prophecy's End,2016,Action,Square Enix,0.050,0.090,0.300,0.030,0.470
TrackMania Turbo,2016,Racing,Ubisoft,0.040,0.350,0.000,0.070,0.470
Knack 2,2017,Platform,Sony Interactive Entertainment,0.140,0.250,0.010,0.070,0.470
Just Dance 2014,2013,Music,Ubisoft,0.210,0.180,0.000,0.080,0.470
Dissidia Final Fantasy NT,2018,Fighting,Square Enix,0.190,0.060,0.160,0.050,0.460
Skylanders: SuperChargers,2015,Action-Adventure,Activision,0.290,0.090,0.000,0.080,0.450
Yakuza Kiwami,2016,Adventure,Sega,0.130,0.070,0.210,0.040,0.450
Tales of Zestiria,2015,Role-Playing,Namco Bandai Games,0.180,0.160,0.040,0.070,0.450
Star Ocean 5: Integrity and Faithlessness,2016,Role-Playing,Square Enix,0.100,0.130,0.160,0.050,0.450
Sleeping Dogs,2014,Action,Square Enix,0.160,0.210,0.000,0.070,0.440
Skylanders SWAP Force,2013,Misc,Activision,0.230,0.140,0.000,0.080,0.440
Skylanders Imaginators,2016,Platform,Activision,0.180,0.180,0.000,0.070,0.430
Trials Fusion,2014,Misc,Ubisoft,0.130,0.230,0.010,0.070,0.430
Saints Row IV,2015,Action,Deep Silver,0.150,0.180,0.030,0.060,0.420
Dishonored,2015,Action,Bethesda Softworks,0.120,0.210,0.020,0.060,0.420
Mirror's Edge 2,2016,Platform,Electronic Arts,0.130,0.190,0.030,0.060,0.420
Farming Simulator 2015,2015,Simulation,Koch Media,0.130,0.220,0.000,0.070,0.410
Just Dance 2015,2014,Music,Ubisoft,0.210,0.130,0.000,0.070,0.410
Sword Art Online: Hollow Realization,2016,Role-Playing,Namco Bandai Games,0.180,0.060,0.120,0.050,0.410
Just Dance 2016,2015,Music,Ubisoft,0.190,0.130,0.000,0.070,0.390
Batman: Arkham VR,2016,Action,Warner Bros. Interactive Entertainment,0.320,0.000,0.000,0.070,0.390
Little Nightmares,2017,Platform,Namco Bandai Games,0.180,0.120,0.020,0.060,0.390
Tropico 5,2015,Simulation,Kalypso Media,0.070,0.180,0.080,0.050,0.380
Life is Strange,2016,Adventure,Square Enix,0.110,0.160,0.050,0.050,0.370
Resident Evil Zero,2016,Action-Adventure,Capcom,0.070,0.180,0.070,0.050,0.370
Yakuza Kiwami 2,2017,Action,Sega,0.080,0.060,0.190,0.030,0.370
Vampyr,2018,Role-Playing,Focus Home Interactive,0.120,0.190,0.000,0.060,0.370
Okami,2017,Action,Capcom,0.160,0.120,0.030,0.060,0.360
Sniper: Ghost Warrior 3,2017,Shooter,City Interactive,0.140,0.150,0.030,0.060,0.360
Hokuto ga Gotoku,2018,Action,Sega,0.090,0.050,0.180,0.030,0.360
Sword Art Online: Lost Song,2015,Role-Playing,Namco Bandai Games,0.190,0.110,0.000,0.060,0.360
Disgaea 5: Alliance of Vengeance,2015,Role-Playing,NIS America,0.150,0.080,0.070,0.050,0.350
Dead or Alive 5,2015,Fighting,Tecmo Koei,0.090,0.130,0.090,0.040,0.350
Gravity Rush 2,2017,Action-Adventure,Sony Interactive Entertainment,0.130,0.050,0.130,0.040,0.350
Odin Sphere: Leifthrasir,2016,Role-Playing,NIS America,0.140,0.070,0.090,0.040,0.340
Divinity: Original Sin,2015,Role-Playing,Focus Home Interactive,0.130,0.130,0.040,0.050,0.340
The King of Fighters XIV,2016,Fighting,Deep Silver,0.210,0.020,0.060,0.050,0.340
Dishonored: Death of the Outsider,2017,Action,Bethesda Softworks,0.100,0.180,0.000,0.050,0.330
Valkyria Chronicles,2016,Role-Playing,Sega,0.140,0.080,0.080,0.040,0.330
Murdered: Soul Suspect,2014,Action-Adventure,Square Enix,0.090,0.170,0.020,0.050,0.330
Payday 2,2015,Shooter,505 Games,0.120,0.140,0.000,0.050,0.320
UEFA Euro 2016,2016,Sports,Konami Digital Entertainment,0.000,0.220,0.050,0.040,0.310
DmC: Devil May Cry,2015,Action,Capcom,0.120,0.130,0.000,0.050,0.310
Sonic Mania,2017,Platform,Sega,0.100,0.150,0.010,0.050,0.310
J Stars Victory Vs.,2015,Fighting,Namco Bandai Games,0.110,0.140,0.000,0.050,0.310
XCOM 2,2016,Strategy,2K Games,0.160,0.100,0.000,0.050,0.310
Dynasty Warriors 8: Xtreme Legends,2014,Misc,Tecmo Koei,0.090,0.120,0.060,0.040,0.310
