Jogo,Ano,Genero,Estudio,America_do_Norte,Europa,Japao,Outros_paises,Global
Saints Row: Gat out of Hell,2015,Action,Deep Silver,0.000,0.040,0.000,0.010,0.050
Werewolves Within,2016,Misc,Ubisoft,0.040,0.000,0.000,0.010,0.050
Demon Gaze 2,2017,Role-Playing,NIS America,0.040,0.000,0.000,0.010,0.050
Real Farm,2017,Simulation,Soedesco,0.040,0.000,0.000,0.010,0.050
Worms: WMD,2016,Strategy,Team17 Digital Ltd,0.020,0.020,0.000,0.010,0.050
Syberia III,2017,Adventure,Microids,0.040,0.000,0.000,0.010,0.050
Sengoku Basara: Sanada Yukimura-Den,2016,Action,Capcom,0.000,0.000,0.050,0.000,0.050
Sengoku Basara 4: Sumeragi,2015,Action,Capcom,0.000,0.000,0.050,0.000,0.050
Sbastien Loeb Rally Evo,2016,Racing,Milestone S.r.l,0.000,0.040,0.000,0.010,0.050
Don't Starve,2018,Adventure,505 Games,0.040,0.000,0.000,0.010,0.050
Monster Jam: Crush It,2016,Racing,GameMill,0.040,0.000,0.000,0.010,0.050
Prison Architect,2016,Simulation,Introversion Software,0.020,0.020,0.000,0.010,0.050
Assault Suit Leynos,2016,Shooter,Rising Star Games,0.040,0.000,0.000,0.010,0.050
Tokyo Twilight Ghost Hunters Daybreak: Special Gigs,2016,Adventure,NIS America,0.040,0.000,0.000,0.010,0.050
Overcooked,2016,Action,Sold Out,0.040,0.000,0.000,0.010,0.050
Ben 10 (2017),2017,Action,Outright Games,0.040,0.000,0.000,0.010,0.050
Dead Alliance,2017,Shooter,Maximum Games,0.040,0.000,0.000,0.010,0.040
Deer Hunter Reloaded,2017,Shooter,Maximum Games,0.040,0.000,0.000,0.010,0.040
That's You,2017,Party,Sony Interactive Entertainment,0.040,0.000,0.000,0.010,0.040
Raid: World War II,2017,Shooter,505 Games,0.040,0.000,0.000,0.010,0.040
Hyperdimension Neptunia Victory II,2015,Role-Playing,Idea Factory International,0.000,0.000,0.040,0.000,0.040
Zero Escape The Nonary Games,2017,Adventure,Aksys Games,0.030,0.000,0.010,0.010,0.040
Rugby Challenge 3,2016,Sports,Alternative Software,0.000,0.040,0.000,0.010,0.040
Vikings: Wolves of Midgard,2017,Action,Kalypso Media,0.030,0.010,0.000,0.010,0.040
INSIDE / LIMBO Double Pack,2017,Platform,505 Games,0.040,0.000,0.000,0.010,0.040
The Talos Principle,2015,Puzzle,Nighthawk Interactive,0.000,0.040,0.000,0.010,0.040
Megadimension Neptunia VIIR,2017,Role-Playing,Compile Heart,0.010,0.000,0.030,0.000,0.040
R.B.I. Baseball 2016,2016,Sports,MLB.com,0.040,0.000,0.000,0.010,0.040
Pure Farming 2018,2018,Simulation,Techland,0.020,0.010,0.000,0.010,0.040
Air Conflicts: Secret Wars,2016,Simulation,Nighthawk Interactive,0.030,0.000,0.000,0.010,0.040
Anima - Gate of Memories,2016,Action,Avanquest,0.010,0.020,0.000,0.010,0.040
Axiom Verge,2017,Action,Badland Studio,0.030,0.000,0.000,0.010,0.040
Unbox: Newbie's Adventure,2017,Action,Merge Games,0.030,0.000,0.000,0.010,0.040
Here They Lie,2016,Adventure,Sony Interactive Entertainment,0.000,0.030,0.000,0.010,0.040
Under Night In-Birth Exe:Latest,2017,Fighting,Arc System Works,0.010,0.000,0.030,0.000,0.040
Aragami,2016,Action,Maximum Games,0.030,0.000,0.000,0.010,0.040
Yonder: The Cloud Catcher Chronicles,2017,Action,CokeM Interactive,0.030,0.000,0.000,0.010,0.040
Assassin's Creed Chronicles: China,2015,Action-Adventure,Ubisoft,0.000,0.030,0.000,0.010,0.040
JoJo's Bizarre Adventure: Eyes of Heaven,2015,Fighting,Namco Bandai Games,0.000,0.000,0.040,0.000,0.040
Dungeons 3,2017,Strategy,Kalypso Media,0.030,0.000,0.000,0.010,0.040
Tour de France 2014,2014,Sports,Focus Home Interactive,0.000,0.030,0.000,0.010,0.040
Danganronpa Another Episode: Ultra Despair Girls,2017,Shooter,NIS America,0.030,0.000,0.010,0.010,0.040
Aegis of Earth: Protonovus Assault,2016,Action,PQube,0.030,0.010,0.000,0.010,0.040
Just Sing,2016,Music,Ubisoft,0.030,0.000,0.000,0.010,0.040
Wonder Boy: The Dragon's Trap (Remake),2018,Platform,Nicalis,0.030,0.000,0.000,0.010,0.040
Lumo,2016,Puzzle,Rising Star Games,0.030,0.000,0.000,0.010,0.040
ABZU,2017,Adventure,505 Games,0.030,0.000,0.000,0.010,0.040
Shadow Tactics: Blades of the Shogun,2017,Strategy,Kalypso Media,0.020,0.010,0.000,0.010,0.040
Darkest Dungeon,2018,Role-Playing,Merge Games,0.020,0.000,0.010,0.010,0.040
R.B.I. Baseball 2017,2017,Sports,MLB.com,0.030,0.000,0.000,0.010,0.040
Punch Line,2015,Adventure,5pb,0.030,0.000,0.000,0.010,0.040
VR Karts,2017,Racing,Perp Games,0.030,0.000,0.000,0.010,0.040
Resident Evil: Umbrella Corps,2016,Shooter,Capcom,0.000,0.000,0.040,0.000,0.040
Marvel Pinball: Epic Collection Volume 1,2016,Puzzle,Nighthawk Interactive,0.030,0.000,0.000,0.010,0.040
God Eater Off Shot: Lindow-hen Twin Pack & Animation Vol. 2,2015,Misc,Namco Bandai Games,0.000,0.000,0.040,0.000,0.040
Infamous: First Light,2014,Action,Sony Computer Entertainment,0.000,0.030,0.000,0.000,0.030
Raiden V,2017,Action,UFO Interactive,0.020,0.000,0.000,0.010,0.030
The Peanuts Movie: Snoopy's Grand Adventure,2015,Platform,Activision,0.000,0.030,0.000,0.000,0.030
The Dwarves,2016,Role-Playing,THQ Nordic,0.030,0.000,0.000,0.010,0.030
Dynasty Warriors: Eiketsuden,2016,Strategy,Tecmo Koei,0.000,0.000,0.030,0.000,0.030
Winning Post 8 2016,2016,Simulation,Tecmo Koei,0.000,0.000,0.030,0.000,0.030
Dragon's Dogma Online: Season 2,2016,Action,Capcom,0.000,0.000,0.030,0.000,0.030
Coven and Labyrinth of Refrain,2017,Action,Nippon Ichi Software,0.010,0.000,0.010,0.000,0.030
Super Dungeon Bros,2016,Action,Wired Productions,0.020,0.000,0.000,0.010,0.030
Blade Arcus from Shining EX,2015,Fighting,Sega,0.000,0.000,0.030,0.000,0.030
Troll and I,2017,Action,Maximum Games,0.020,0.000,0.000,0.010,0.030
The Pillars of the Earth,2017,Adventure,Kalypso Media,0.020,0.000,0.000,0.010,0.030
The Lost Child,2017,Action,Kadokawa Games,0.010,0.000,0.010,0.000,0.030
Romance of the Three Kingdoms 13 with Power-Up Kit,2017,Misc,Tecmo Koei,0.000,0.000,0.030,0.000,0.030
Koihime Enbu,2016,Fighting,Yeti,0.000,0.000,0.030,0.000,0.030
Road Rage,2017,Racing,Maximum Games,0.020,0.000,0.000,0.010,0.030
Winning Post 8 2017,2017,Misc,Tecmo Koei,0.000,0.000,0.030,0.000,0.030
Dino Dini's Kick Off Revival,2016,Sports,Avanquest,0.000,0.020,0.000,0.000,0.030
God Eater Off Shot:Shiou-hen Twin Pack & Animation Vol.5,2016,Misc,Namco Bandai Games,0.000,0.000,0.030,0.000,0.030
Tumblestone,2016,Puzzle,Nighthawk Interactive,0.020,0.000,0.000,0.010,0.030
Blackguards 2,2017,Strategy,Kalypso Media,0.020,0.000,0.000,0.010,0.030
Baja: Edge of Control HD,2017,Racing,THQ Nordic,0.020,0.000,0.000,0.010,0.030
Crows: Burning Edge,2016,Action,Namco Bandai Games,0.000,0.000,0.030,0.000,0.030
Geometry Wars 3: Dimensions Evolved,2016,Action,Activision,0.020,0.000,0.000,0.010,0.030
We Sing (2016),2016,Music,THQ Nordic,0.020,0.000,0.000,0.010,0.030
Shin Hayarigami 2,2016,Adventure,Nippon Ichi Software,0.000,0.000,0.030,0.000,0.030
The Town of Light,2017,Adventure,Wired Productions,0.020,0.000,0.000,0.010,0.030
OlliOlli: Epic Combo Edition,2016,Platform,Badland Studio,0.020,0.000,0.000,0.010,0.030
Naruto Shippuden Ultimate Ninja Storm 4: Road to Boruto,2017,Fighting,Namco Bandai Games,0.000,0.000,0.030,0.000,0.030
Ao no Kanata no Four Rhythm,2017,Visual Novel,Sprite,0.000,0.000,0.030,0.000,0.030
Zero Escape: Zero Time Dilemma,2017,Adventure,Aksys Games,0.020,0.000,0.000,0.000,0.030
AereA,2017,Role-Playing,Soedesco,0.020,0.000,0.000,0.000,0.030
Root Letter,2016,Visual Novel,PQube,0.000,0.000,0.030,0.000,0.030
ClaDun Sengoku,2017,Action,NIS America,0.020,0.000,0.000,0.000,0.030
The Girl and the Robot,2017,Misc,Soedesco,0.020,0.000,0.000,0.000,0.030
Omega Quintet,2014,Role-Playing,Compile Heart,0.000,0.000,0.020,0.000,0.030
Touhou Kobuto V: Burst Battle,2017,Shooter,NIS America,0.020,0.000,0.000,0.000,0.030
God Eater Off Shot: Soma Shikkuzaru-hen Twin Pack & Animation Vol.4,2016,Action,Namco Bandai Games,0.000,0.000,0.020,0.000,0.020
Rugby League Live 3,2015,Sports,Tru Blu Entertainment,0.000,0.020,0.000,0.000,0.020
Omega Labyrinth Z,2017,Role-Playing,D3Publisher,0.000,0.000,0.020,0.000,0.020
Lost Sphear,2017,Role-Playing,Square Enix,0.000,0.000,0.020,0.000,0.020
Superbeat: Xonic,2017,Music,PM Studios,0.020,0.000,0.000,0.000,0.020
Republique,2016,Action-Adventure,Gunho Online Entertainment,0.000,0.010,0.010,0.000,0.020
Super Stardust Ultra VR,2016,Shooter,Sony Interactive Entertainment,0.000,0.020,0.000,0.000,0.020
Redout,2017,Racing,505 Games,0.020,0.000,0.000,0.000,0.020
Resident Evil: Value Pack,2016,Action-Adventure,Capcom,0.000,0.000,0.020,0.000,0.020
God Eater Off Shot: Tachibana Sakuya-hen Twin Pack & Animation Vol.7,2016,Action,Namco Bandai Games,0.000,0.000,0.020,0.000,0.020
PaRappa the Rapper Remastered,2017,Music,Sony Interactive Entertainment,0.000,0.000,0.020,0.000,0.020
Earth's Dawn,2016,Action,Rising Star Games,0.020,0.000,0.000,0.000,0.020
Big Buck Hunter Arcade,2016,Shooter,GameMill Entertainment,0.020,0.000,0.000,0.000,0.020
Dungeons 2,2016,Role-Playing,Kalypso Media,0.020,0.000,0.000,0.000,0.020
Tricky Towers,2017,Puzzle,Soedesco,0.020,0.000,0.000,0.000,0.020
No Heroes Allowed! VR,2017,Strategy,Sony Interactive Entertainment,0.000,0.000,0.020,0.000,0.020
ArmaGallant: Decks of Destiny,2017,Strategy,Maximum Games,0.020,0.000,0.000,0.000,0.020
Carmageddon: Max Damage,2016,Action,Stainless Games,0.020,0.000,0.000,0.000,0.020
Armello,2018,Strategy,League of Geeks,0.020,0.000,0.000,0.000,0.020
Shaq-Fu: A Legend Reborn,2018,Action,Wired Productions,0.020,0.000,0.000,0.000,0.020
Patapon Remastered,2017,Music,Sony Interactive Entertainment,0.000,0.000,0.020,0.000,0.020
Monster Hunter Frontier Z: Beginner's Package,2016,Action,Capcom,0.000,0.000,0.020,0.000,0.020
Professional Farmer 2016,2015,Action,Namco Bandai Games,0.000,0.020,0.000,0.000,0.020
Natsuiro High School: Seishun Hakusho,2015,Action,D3Publisher,0.000,0.000,0.020,0.000,0.020
The Inner World: The Last Wind Monk,2017,Puzzle,Kalypso Media,0.020,0.000,0.000,0.000,0.020
SteamWorld Collection,2016,Misc,Rising Star Games,0.020,0.000,0.000,0.000,0.020
Konoyo no Hate de Koi o Utau Shoujo: Yu-No,2017,Visual Novel,5pb,0.000,0.000,0.020,0.000,0.020
God Eater Off Shot: Fujiki Kota-hen Twin Pack & Animation Vol.6,2016,Misc,Namco Bandai Games,0.000,0.000,0.020,0.000,0.020
Genkai Tokki: Castle Panzers,2017,Role-Playing,Compile Heart,0.000,0.000,0.020,0.000,0.020
Skullgirls: 2nd Encore,2016,Fighting,Arc System Works,0.000,0.000,0.020,0.000,0.020
This Is The Police,2017,Simulation,THQ Nordic,0.010,0.000,0.000,0.000,0.020
Rabbids Invasion: The Interactive TV Show,2014,Misc,Ubisoft,0.000,0.010,0.000,0.000,0.020
FlatOut 4: Total Insanity,2017,Racing,Bigben Interactive,0.010,0.000,0.000,0.000,0.020
Chaos;Child,2015,Visual Novel,PQube,0.000,0.000,0.020,0.000,0.020
Touhou Shinhiroku: Urban Legend in Limbo,2016,Fighting,Mediascape,0.000,0.000,0.020,0.000,0.020
Rogue Trooper: Redux,2017,Shooter,Rebellion,0.010,0.000,0.000,0.000,0.020
Space Hulk: Deathwing,2015,Shooter,Focus Home Interactive,0.000,0.010,0.000,0.000,0.020
Pharaonic,2017,Action,Soedesco,0.010,0.000,0.000,0.000,0.020
White Day,2017,Action,PQube,0.000,0.010,0.010,0.000,0.020
Torment: Tides of Numenera,2017,Role-Playing,Techland,0.010,0.000,0.000,0.000,0.010
Let It Die,2017,Action,GungHo,0.000,0.010,0.010,0.000,0.010
Summer Lesson: Miyamoto Hikari Collection,2017,Adventure,Namco Bandai Games,0.000,0.000,0.010,0.000,0.010
Raven's Cry,2015,Role-Playing,TopWare Interactive,0.000,0.010,0.000,0.000,0.010
New Game! The Challenge Stage!,2017,Adventure,5pb,0.000,0.000,0.010,0.000,0.010
Hakoniwa Company Works,2017,Strategy,Nippon Ichi Software,0.000,0.000,0.010,0.000,0.010
DJ Max Respect,2017,Misc,Arc System Works,0.000,0.000,0.010,0.000,0.010
Battle Worlds: Kronos,2016,Strategy,Nordic Games,0.010,0.000,0.000,0.000,0.010
Dragon's Dogma Online: Season 3,2017,Role-Playing,Capcom,0.000,0.000,0.010,0.000,0.010
Occultic;Nine,2017,Adventure,5pb,0.000,0.000,0.010,0.000,0.010
Kono Subarashii Sekai ni Shukufuku o! Kono Yokubukai Game ni Shinpan o!,2017,Adventure,5pb,0.000,0.000,0.010,0.000,0.010
Battle Garegga Rev.2016,2016,Strategy,M2,0.000,0.000,0.010,0.000,0.010
Yahari Game Demo Ore no Seishun Love-Kome wa Machigatteiru. & Zoku: Oatome Set,2017,Adventure,5pb,0.000,0.000,0.010,0.000,0.010
Farming 2017 - The Simulation,2016,Simulation,UIG Entertainment,0.000,0.010,0.000,0.000,0.010
Re:Zero - Kara Hajimeru Isekai Seikatsu - Death or Kiss,2017,Adventure,5pb,0.000,0.000,0.010,0.000,0.010
Zombie Vikings,2016,Action,Rising Star Games,0.000,0.010,0.000,0.000,0.010
ATV Renegades,2017,Racing,Nighthawk Interactive,0.010,0.000,0.000,0.000,0.010
Ziggurat,2016,Shooter,Soedesco,0.000,0.010,0.000,0.000,0.010
Chaos;Child: Love Chu Chu!!,2017,Visual Novel,5pb,0.000,0.000,0.010,0.000,0.010
Moto Racer 4,2016,Racing,PQube,0.010,0.000,0.000,0.000,0.010
LocoRoco Remastered,2017,Platform,Sony Interactive Entertainment,0.000,0.000,0.010,0.000,0.010
Lock's Quest,2017,Strategy,THQ Nordic,0.010,0.000,0.000,0.000,0.010
Gal Gun: Double Peace,2015,Action,PQube,0.000,0.000,0.010,0.000,0.010
Woodcutter Simulator 2016,2015,Action,Namco Bandai Games,0.000,0.010,0.000,0.000,0.010
Akiba's Trip 2+A,2017,Adventure,Acquire,0.000,0.000,0.010,0.000,0.010
Date-A-Live Twin Edition: Rio Reincarnation,2017,Adventure,Compile Heart,0.000,0.000,0.010,0.000,0.010
Valhalla Hills,2017,Strategy,Kalypso Media,0.010,0.000,0.000,0.000,0.010
Deception IV: Blood Ties,2015,Action,Tecmo Koei,0.000,0.000,0.010,0.000,0.010
One Piece: Unlimited World Red,2017,Action,Namco Bandai Games,0.000,0.000,0.010,0.000,0.010
Hyper Light Drifter,2017,Role-Playing,Active Gaming Media,0.000,0.000,0.010,0.000,0.010
Teslagrad,2014,Platform,Rain Games,0.000,0.010,0.000,0.000,0.010
Darius Burst: Chronicle Saviours,2017,Action,Kadokawa Games,0.000,0.000,0.010,0.000,0.010
The Escapists: The Walking Dead,2016,Action,Team17 Software,0.000,0.000,0.000,0.000,0.010
Super Meat Boy,2016,Platform,Team Meat,0.000,0.000,0.000,0.000,0.010
Blood Bowl 2,2015,Sports,Focus Home Interactive,0.000,0.000,0.000,0.000,0.000
The Witness,2016,Misc,"Thekla, Inc.",0.000,0.000,0.000,0.000,0.000
Quantic Dream Collection,2015,Action,Sony Computer Entertainment,0.000,0.000,0.000,0.000,0.000
Iwaihime: Matsuri,2017,Adventure,Nippon Ichi Software,0.000,0.000,0.000,0.000,0.000
RepKiss,2017,Adventure,Entergram,0.000,0.000,0.000,0.000,0.000
War Thunder,2017,Action,DMM Games,0.000,0.000,0.000,0.000,0.000
Tsuihou Senkyo,2017,Adventure,Nippon Ichi Software,0.000,0.000,0.000,0.000,0.000
Hustle Kings VR,2016,Sports,Sony Interactive Entertainment,0.000,0.000,0.000,0.000,0.000
Toki Tori 2+,2016,Puzzle,Two Tribes,0.000,0.000,0.000,0.000,0.000
Deception IV: The Nightmare Princess,2015,Action,Tecmo Koei,0.000,0.000,0.000,0.000,0.000
Kingdom Hearts HD I.5 + II.5 ReMIX,2017,Action,Square Enix,0.000,0.000,0.000,0.000,0.000
Fushigi no Chronicle: Furikaerimasen Katsu Madewa,2015,Action,Spike Chunsoft,0.000,0.000,0.000,0.000,0.000
Agatha Christie: The ABC Murders,2016,Adventure,Microids,0.000,0.000,0.000,0.000,0.000
Ancients of Ooga - The Forgotten Chapters,2016,Platform,Koch Media,0.000,0.000,0.000,0.000,0.000
Blacklight: Retribution,2013,Misc,Perfect World Entertainment,0.000,0.000,0.000,0.000,0.000
Bladestorm: The Hundred Years' War,2015,Action,BioWare,0.000,0.000,0.000,0.000,0.000
Brothers in Arms: Furious 4,2019,Shooter,Ubisoft,0.000,0.000,0.000,0.000,0.000
DC Universe Online,2013,MMO,Sony Online Entertainment,0.000,0.000,0.000,0.000,0.000
Industry Giant II,2017,Strategy,UIG Entertainment,0.000,0.000,0.000,0.000,0.000
Kingdom Under Fire II,2014,Misc,Unknown,0.000,0.000,0.000,0.000,0.000
Mount & Blade: Warband,2016,Role-Playing,Taleworlds,0.000,0.000,0.000,0.000,0.000
Psychonauts,2017,Action,Sony Interactive Entertainment,0.000,0.000,0.000,0.000,0.000
Resident Evil 5,2016,Action,Capcom,0.000,0.000,0.000,0.000,0.000
The Amazing Spider-Man 2,2014,Misc,Activision,0.000,0.000,0.000,0.000,0.000
Ether One,2015,Adventure,Soedesco,0.000,0.000,0.000,0.000,0.000
Uncharted 2: Among Thieves,2016,Action,Sony Interactive Entertainment,0.000,0.000,0.000,0.000,0.000
Uncharted 3: Drake's Deception,2016,Action,Sony Interactive Entertainment,0.000,0.000,0.000,0.000,0.000
Uncharted: Drake's Fortune,2016,Action,Sony Interactive Entertainment,0.000,0.000,0.000,0.000,0.000
Awesomenauts,2014,Misc,DTP Entertainment,0.000,0.000,0.000,0.000,0.000
Broken Age,2015,Adventure,Nordic Games,0.000,0.000,0.000,0.000,0.000
Slender: The Arrival,2015,Adventure,Unknown,0.000,0.000,0.000,0.000,0.000
deep down (Working Title),2020,Misc,Capcom,0.000,0.000,0.000,0.000,0.000
Human Element,2015,Misc,Unknown,0.000,0.000,0.000,0.000,0.000
Whore of the Orient,2020,Misc,Warner Bros. Interactive Entertainment,0.000,0.000,0.000,0.000,0.000
Cyberpunk 2077,2018,Action-Adventure,CD Projekt Red Studio,0.000,0.000,0.000,0.000,0.000
Final Fantasy (PS4),2020,Misc,Square Enix,0.000,0.000,0.000,0.000,0.000
Contrast,2013,Misc,Compulsion Games,0.000,0.000,0.000,0.000,0.000
Carmageddon: Reincarnation,2015,Misc,Stainless Games,0.000,0.000,0.000,0.000,0.000
Rocketbirds 2: Evolution,2020,Misc,Unknown,0.000,0.000,0.000,0.000,0.000
Primal Carnage: Genesis,2020,Misc,Unknown,0.000,0.000,0.000,0.000,0.000
Kingdom Hearts III,2019,Role-Playing,Square Enix,0.000,0.000,0.000,0.000,0.000
Yaiba: Ninja Gaiden Z,2014,Misc,Tecmo Koei,0.000,0.000,0.000,0.000,0.000
Pinball Arcade,2013,Misc,FarSight Studios,0.000,0.000,0.000,0.000,0.000
Toukiden: The Age of Demons,2014,Action,Tecmo Koei,0.000,0.000,0.000,0.000,0.000
Reus,2016,Strategy,Soedesco,0.000,0.000,0.000,0.000,0.000
Strider (2014),2014,Platform,Capcom,0.000,0.000,0.000,0.000,0.000
EverQuest Next,2019,MMO,Sony Online Entertainment,0.000,0.000,0.000,0.000,0.000
Velocity 2X,2014,Action,Futurlab 1,0.000,0.000,0.000,0.000,0.000
Helldivers,2015,Action,Sony Computer Entertainment,0.000,0.000,0.000,0.000,0.000
WonderFlick,2014,Misc,Level 5,0.000,0.000,0.000,0.000,0.000
Monochroma,2014,Misc,Nowhere Studios,0.000,0.000,0.000,0.000,0.000
Lily Bergamo,2014,Misc,GungHo,0.000,0.000,0.000,0.000,0.000
Get Even,2015,Misc,Unknown,0.000,0.000,0.000,0.000,0.000
TowerFall,2014,Misc,Unknown,0.000,0.000,0.000,0.000,0.000
SOMA (2015),2015,Misc,Frictional Games,0.000,0.000,0.000,0.000,0.000
Cult County,2015,Misc,Renegade Kid,0.000,0.000,0.000,0.000,0.000
R.B.I. Baseball 14,2014,Misc,MLB.com,0.000,0.000,0.000,0.000,0.000
Blue EstateÊ,2014,Misc,Focus Home Interactive,0.000,0.000,0.000,0.000,0.000
Pure PoolÊ,2014,Misc,Triniti Interactive,0.000,0.000,0.000,0.000,0.000
Without Memory,2016,Misc,Unknown,0.000,0.000,0.000,0.000,0.000
Bombshell,2014,Misc,3D Realms,0.000,0.000,0.000,0.000,0.000
The Forest,2015,Action,Endnight Games LtdÊ,0.000,0.000,0.000,0.000,0.000
Falling Skies: The GameÊ,2015,Role-Playing,Little Orbit,0.000,0.000,0.000,0.000,0.000
EA Sports PGA Tour,2015,Sports,EA Sports,0.000,0.000,0.000,0.000,0.000
Dead Island 2,2017,Action,Deep Silver,0.000,0.000,0.000,0.000,0.000
Tetris UltimateÊ,2014,Puzzle,Ubisoft,0.000,0.000,0.000,0.000,0.000
Afro Samurai 2,2015,Action,Versus Evil,0.000,0.000,0.000,0.000,0.000
The Legend of Korra (2014),2014,Action,Activision,0.000,0.000,0.000,0.000,0.000
The Vanishing of Ethan CarterÊ,2015,Adventure,The Astronauts,0.000,0.000,0.000,0.000,0.000
Godzilla (2014),2014,Action,Namco Bandai Games,0.000,0.000,0.000,0.000,0.000
Gran Turismo 7,2020,Racing,Sony Computer Entertainment,0.000,0.000,0.000,0.000,0.000
Wild,2019,Adventure,Sony Interactive Entertainment,0.000,0.000,0.000,0.000,0.000
Tadeo Jones y el manuscrito perdido,2014,Adventure,Deep Silver,0.000,0.000,0.000,0.000,0.000
OlliOlli 2: Welcome to Olliwood,2016,Sports,PQube,0.000,0.000,0.000,0.000,0.000
Pathologic,2015,Adventure,Ice-pick Lodge,0.000,0.000,0.000,0.000,0.000
Rebel Galaxy,2015,Role-Playing,Double Damage Games,0.000,0.000,0.000,0.000,0.000
Assassin's Creed: Victory,2015,Action,Ubisoft,0.000,0.000,0.000,0.000,0.000
Silent Hills,2020,Action,Konami Digital Entertainment,0.000,0.000,0.000,0.000,0.000
Overlord: Fellowship of Evil,2015,Action,Codemasters,0.000,0.000,0.000,0.000,0.000
R.B.I. Baseball 15,2015,Sports,MLB.com,0.000,0.000,0.000,0.000,0.000
Wander,2015,Role-Playing,Wander MMO,0.000,0.000,0.000,0.000,0.000
Final Fantasy VII Remake,2019,Role-Playing,Square Enix,0.000,0.000,0.000,0.000,0.000
Ikenie to Yuki no Setsuna,2016,Role-Playing,Square Enix,0.000,0.000,0.000,0.000,0.000
Atelier Sophie,2020,Role-Playing,Gust,0.000,0.000,0.000,0.000,0.000
Dengeki Bunko: Fighting Climax Ignition,2015,Action,Sega,0.000,0.000,0.000,0.000,0.000
World Soccer Winning Eleven 2015,2015,Action,Konami Digital Entertainment,0.000,0.000,0.000,0.000,0.000
Cross Reverie,2017,Role-Playing,Sinxsoft,0.000,0.000,0.000,0.000,0.000
Airship Q,2019,Platform,Cygames,0.000,0.000,0.000,0.000,0.000
Killing Bites,2016,Action,Unknown,0.000,0.000,0.000,0.000,0.000
Tiny Troopers Joint Ops,2014,Action,Unknown,0.000,0.000,0.000,0.000,0.000
The London Heist,2016,Shooter,Sony Computer Entertainment,0.000,0.000,0.000,0.000,0.000
Risen 3 Enhanced Edition,2015,Role-Playing,Deep Silver,0.000,0.000,0.000,0.000,0.000
Air Conflicts: Pacific Carriers,2015,Simulation,Kalypso Media,0.000,0.000,0.000,0.000,0.000
God Wars: Beyond Time,2016,Role-Playing,Kadokawa Games,0.000,0.000,0.000,0.000,0.000
Hasbro Family Fun Pack,2015,Misc,Ubisoft,0.000,0.000,0.000,0.000,0.000
Professional Lumberjack 2016,2015,Simulation,Namco Bandai Games,0.000,0.000,0.000,0.000,0.000
Alekhine's Gun,2016,Action,Maximum Games,0.000,0.000,0.000,0.000,0.000
Kung Fu Panda: Showdown of Legendary Legends,2015,Action,Little Orbit,0.000,0.000,0.000,0.000,0.000
Bloodborne: Complete Edition,2015,Role-Playing,Sony Computer Entertainment,0.000,0.000,0.000,0.000,0.000
World to the West,2017,Action-Adventure,Soedesco,0.000,0.000,0.000,0.000,0.000
Days Gone,2019,Action-Adventure,Sony Interactive Entertainment,0.000,0.000,0.000,0.000,0.000
Berserk Musou,2016,Action,Tecmo Koei,0.000,0.000,0.000,0.000,0.000
Ginger: Beyond the Crystal,2016,Platform,PQube,0.000,0.000,0.000,0.000,0.000
The Last of Us: Part II,2019,Action,Sony Interactive Entertainment,0.000,0.000,0.000,0.000,0.000
Don Bradman Cricket 17,2016,Sports,Tru Blu Entertainment,0.000,0.000,0.000,0.000,0.000
Ace Combat 7: Skies Unknown,2019,Shooter,Bandai Namco Games,0.000,0.000,0.000,0.000,0.000
Metro Exodus,2019,Shooter,Deep Silver,0.000,0.000,0.000,0.000,0.000
Anthem,2019,Role-Playing,Electronic Arts,0.000,0.000,0.000,0.000,0.000
Moons Of Madness,2017,Role-Playing,Unknown,0.000,0.000,0.000,0.000,0.000
Iron Harvest,2018,Strategy,Unknown,0.000,0.000,0.000,0.000,0.000
Biomutant,2018,Action,THQ Nordic,0.000,0.000,0.000,0.000,0.000
Biomutant,2019,Action,THQ Nordic,0.000,0.000,0.000,0.000,0.000
de Blob,2017,Platform,THQ Nordic,0.000,0.000,0.000,0.000,0.000
Chaos on Deponia,2017,Adventure,Daedalic Entertainment,0.000,0.000,0.000,0.000,0.000
Code Vein,2018,Action,Bandai Namco Entertainment,0.000,0.000,0.000,0.000,0.000
Radial G Racing Revolved,2017,Racing,Tammeka Games,0.000,0.000,0.000,0.000,0.000
